product_id,product_ean,Categorie_L1,Categorie_L2,Categorie_L3,name,price,discount_price,seller
1774342,5035048742389,Electronics & Appliances,Small Appliances,Kettles & Coffee Machines,Black+Decker Electric Kettle 2200W JC69-B5 Black,69,69,Carrefour
1922966,5035048797136,Electronics & Appliances,Small Appliances,Toasters & Grills,Black+Decker 3-In-1 Sandwich Grill And Waffle Maker TS2130-B5 Black,109,109,Carrefour
1765085,7332543753802,Electronics & Appliances,Small Appliances,Sewing Machines,Electrolux Air Purifier FA31-202GY,495,495,Jacky's Electronics LLC
689122015163,689122015163,Electronics & Appliances,Small Appliances,Accessories & Spare Parts,"Blueair Smart Filter For 7400 Series, Compatible With Healthprotect 7410I, 7440I, 7470I And 7475I, Black (Min 1 Year Manufacturer Warranty)",349,349,NIA Home
1935455,8806094850710,Electronics & Appliances,TVs & Projectors,TVs,"Samsung Smart TV, Crystal UHD, CU7000C, 65 Inch, Black, 2023, Crystal Processor 4K, Smart Hub, Object Tracking Sound Lite, UA65CU7000UXZN",2299,1623.95,MSGT
1792850,8806092097599,Electronics & Appliances,TVs & Projectors,Projectors,Samsung 130&quot; The Premiere LSP9T 4K Smart Triple Laser Projector,23999,12898,Jackys Brand Shop
1822641,6084011142564,Electronics & Appliances,TVs & Projectors,TV Accessories,MyChoice Wall Bracket 15 DG For 14-42inch TV Black,55,55,Carrefour
1407948,8806084503428,Electronics & Appliances,TVs & Projectors,DVD Player & Digital Receiver,LG Bluray 4K UHD DVD Player UP970,999,949,Emirates store
6971408157044,6971408157044,Electronics & Appliances,TVs & Projectors,Receiver & Satellite Accessories,"Xiaomi TV Box S 2nd Gen, 2023 New Version, 4K, 60FPS, Bluetooth 5.2, Dolby Vision And HDR10+, Google TV, 2GB RAM+8GB Storage",156.89,156.89,Exeon
196068819118,196068819118,Electronics & Appliances,"Laptops, PCs",Laptops,"HP 2022 15.6&quot; FHD Micro-Edge Laptop, AMD Ryzen 5 5500U 6-Core (Beat i7-1160G7, Up To 4GHz), 32GB RAM, 1TB PCIe SSD, AMD Radeon Graphics, WiFi, HDMI, Fast Charge, Windows 11, W/3In1 Accessories",2499,1949,Technozone
1797641,4549292165685,Electronics & Appliances,"Laptops, PCs","Printers, Scanners & Fax Machines",Canon Pixma Printer TS3440 Black,199.99,161.99,SHINING BLUE STAR
1742473,194441597332,Electronics & Appliances,"Laptops, PCs",Toners & Cartridges,HP 305 BLACK Original Ink Cartridge 3YM61AE,45,45,Carrefour
1787965,190151040298,Electronics & Appliances,"Laptops, PCs",Accessories & Peripherals,Lenovo 300 Wireless Mouse GX30K79401 Black,30,30,Carrefour
